AppID,Name,Genres,Categories,Tags,Rating
2050840,- Am I kind-hearted? - ワタシのココロは綺麗ですか？,Adventure,"Single-player, Family Sharing","Adventure, Visual Novel, Cute, Romance, 2D",30
603750,- Arcane Raise -,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Partial Controller Support","Adventure, RPG, Strategy, Casual, RPGMaker",36
1961860,- Doki Doki Family - 特異体質者のドキドキ家族生活,Simulation,"Single-player, Family Sharing","Choose Your Own Adventure, Visual Novel, Simulation, Cute, Dating Sim",30
1961870,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ,Simulation,"Single-player, Family Sharing","Simulation, Visual Novel, Fantasy, Choose Your Own Adventure, Cute",30
2184390,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Dorothy Edition,Adventure,"Single-player, Family Sharing",,0
2184420,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Janice Edition,Adventure,"Single-player, Family Sharing","Choose Your Own Adventure, Visual Novel, Romance, 2D, Cute",30
2184410,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Satsuki Edition,"Adventure, Casual, Simulation","Single-player, Family Sharing","Choose Your Own Adventure, Visual Novel, Simulation, Casual, Romance",30
2184400,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ　AshaEdition,Adventure,"Single-player, Family Sharing",,0
2177160,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ　ClaraEdition,"Adventure, Casual, Simulation","Single-player, Family Sharing",,0
1692280,- R E F L E C T E D -,"Casual, Indie","Single-player, Full controller support, Family Sharing","Puzzle-Platformer, 2D, Pixel Graphics, Anime, Colorful",31
1843380,---Red---Tether--&gt; Playtest,,,,0
1714080,---Red---Tether-->,"Action, Indie","Single-player, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","Action Roguelike, Top-Down Shooter, Puzzle, Sci-fi, Difficult",32
2381340,-256,"Adventure, Free To Play, Indie, Simulation",Single-player,,0
1566990,-A-,"Action, Indie","Single-player, Steam Achievements, Family Sharing","Action, Shooter, Third-Person Shooter, Third Person, Zombies",30
3611940,-Ham Cafe- Ohamu Shokudo Ki,"Adventure, Casual, Indie, Simulation","Single-player, Steam Achievements, Partial Controller Support, Family Sharing","Casual, Simulation, Adventure, Cooking, Farming Sim",30
1833060,-HOME- Survival,"Adventure, Indie, Early Access","Single-player, Multi-player, PvP, Online PvP, LAN PvP","Early Access, Exploration, Sandbox, Archery, PvP",30
3382110,-ing Angler,"Casual, Indie, Simulation","Single-player, Steam Achievements, Family Sharing","Casual, Idler, Simulation, Fishing, Pixel Graphics",30
729370,-KLAUS-,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Adventure, Indie, Platformer, 2D, Experience",32
1336340,-SPROUT-,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing","Precision Platformer, Puzzle-Platformer, 2D Platformer, Pixel Graphics, Cute",32
3923420,-SUPER CHICKEN- 正道的鸡 Playtest,,,,0
1240480,-The Sacrificial Girl of the Fantasy 3 Kingdoms-,"Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Family Sharing","Adventure, Indie, RPG, Casual, JRPG",34
1467600,.,"Action, Adventure, Indie, RPG","Single-player, Family Sharing","Action, Adventure, RPG, Action-Adventure, Character Action Game",30
1963980,...,"Action, Adventure, RPG","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen","Adventure, Action, RPG, Action-Adventure, Action RPG",30
1882600,...Knew the Beginning,"Action, Indie","Single-player, Family Sharing","Point & Click, Adventure, Singleplayer, Hand-drawn, 2D",31
4103720,...Vincent: Mansion of The Dead,"Action, Casual, Indie","Single-player, Full controller support, Custom Volume Controls, Playable without Timed Input, Save Anytime",,0
3088370,.Decluster & .Decluster Zero,"Action, Indie","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards","Indie, Shoot Em Up, Action, Bullet Hell, Shooter",30
471640,.EXE,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Workshop, Partial Controller Support, Includes level editor","Action, Adventure, Indie, Platformer, Rogue-lite",30
