AppID,Name,Genres,Categories,Tags,Rating
238910,Bionic Dues,"Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","Strategy, RPG, Rogue-like, Indie, Turn-Based",41
8870,BioShock Infinite,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","FPS, Story Rich, Action, Singleplayer, Steampunk",92
8850,BioShock® 2,Action,"Single-player, Multi-player, Steam Achievements, Full controller support, Remote Play on TV","FPS, Action, Singleplayer, Story Rich, Atmospheric",79
7670,BioShock™,"Action, RPG","Single-player, Partial Controller Support, Family Sharing","FPS, Atmospheric, Story Rich, Action, Singleplayer",88
409720,BioShock™ 2 Remastered,"Action, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","FPS, Action, Singleplayer, Story Rich, Atmospheric",67
409710,BioShock™ Remastered,"Action, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","FPS, Story Rich, Atmospheric, Horror, Singleplayer",80
3177970,Bioweaver,"Indie, RPG, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop","Programming, Tactical RPG, Looter Shooter, Action RPG, Hack and Slash",38
1071870,Biped,"Action, Adventure, Casual, Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op","Character Customization, Emotional, Co-op, PvE, Action",72
1539580,Bird,"Action, Casual, Indie, Simulation, Early Access","Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards","Nature, Flight, Immersive Sim, Relaxing, Atmospheric",42
312010,Bird Assassin,"Action, Adventure, Indie","Single-player, Partial Controller Support, Family Sharing","Action, Adventure, Indie, Shooter, 2D",36
1072390,BirdGut,"Adventure, Casual, Free To Play, Indie","Single-player, Steam Achievements","Free to Play, Indie, Adventure, Puzzle-Platformer, Hand-drawn",71
2553710,Birds Arent Real: The Game,"Adventure, Casual, Indie, Simulation","Single-player, Full controller support","Adventure, Casual, Birds, Sandbox, Exploration",37
2707110,Birds Organized Neatly,"Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Custom Volume Controls, Mouse Only Option","Birds, Puzzle, Wholesome, Cozy, Relaxing",33
1889040,Birth,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Family Sharing","Point & Click, Surreal, Puzzle, Relaxing, Hidden Object",64
